"Document Title","Authors","Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBNs","DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"The Inverse Power Law-Normal Model for Right-Censored Data With Application to Life Prediction of Organic Light-Emitting Diodes","O. Kittaneh; S. Helal; M. A. Majid","Natural Sciences, Mathematics, and Technology Department, Effat University, Jeddah, Saudi Arabia; Mathematics Department, University of Edinburgh, Edinburgh, U.K.; Electrical and Computer Engineering Department, Effat University, Jeddah, Saudi Arabia","IEEE Transactions on Electron Devices","28 Feb 2025","2025","72","3","1229","1234","This work generalizes the inverse power law-normal (IPL-normal) model for complete data to right-censored data, assuming that the coefficient of variation remains constant and free of stress. The maximum likelihood (ML) estimating equations of the model’s accelerating parameters and the general coefficient of variation are derived using new trivial but fundamental identities. The ML estimating equation of the general coefficient of variation is explicit and generalizes its counterpart for complete data, which was previously introduced. The ML method is compared with the classical least squares (LS) technique. Although the ML method is laborious and numerically sensitive, this article favors ML over LS for a drastic reason that only ML can estimate the general coefficient of variation, but it still recommends using both the methods for some other reasons. The generalized IPL-normal model is used to precisely specify the life model of organic light-emitting diodes based on a standard real data of complete samples of lives which was discussed in several previous works but censored in this work.","1557-9646","","10.1109/TED.2025.3531322","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10870324","Accelerated life test (ALT);coefficient of variation;inverse power law model;least squares (LS);maximum likelihood (ML);right-censored data","Stress;Maximum likelihood estimation;Mathematical models;Data models;Standards;Organic light emitting diodes;Gaussian distribution;Life estimation;Probability distribution;Computational modeling","","","","13","IEEE","4 Feb 2025","","","IEEE","IEEE Journals"
"Reversing a decades-long scaling law of dielectric breakdown for ReRAM forming voltage reduction - Modeling competition among defect generation and annihilation processes (invited)","E. Wu; T. Ando; P. Jamison","IBM Research Division, Essex Junction, Vermont; Yorktown Heights, New York; Albany, New York, USA","2023 International Electron Devices Meeting (IEDM)","7 Feb 2024","2023","","","1","4","It is well known that the inverse area-scaling law of dielectric breakdown (BD) has posed scaling limits for a forming-voltage reduction in resistive random-access-memory (ReRAM) devices as well as for BD reliability of modern technology nodes. In this work, we present and review our recent development of a physics-based statistical model which captures the experimental findings of the reverse BD area scaling [1]. This remarkable reverse area scaling effect is accomplished by introducing an innovative fabrication process with a hydrogen-doped layer in a bilayer HfO2 structure. Our work demonstrates there is no fundamental reason preventing the old scaling law from being reversed or altered, thus providing a scaling solution for ReRAM technology and fabrication innovation in electronic and/or bioinspired nanomaterials; moreover, our findings can stimulate much research in physics, statistics, and reliability.","2156-017X","979-8-3503-2767-0","10.1109/IEDM45741.2023.10413665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10413665","Breakdown;competition;defect annihilation","Fabrication;Technological innovation;Probability density function;Very large scale integration;Data models;Hafnium compounds;Dielectric breakdown","","1","","28","IEEE","7 Feb 2024","","","IEEE","IEEE Conferences"
"Law Enforcement Authorities' Legal Digital Evidence Gathering: Legal, Integrity and Chain-of-Custody Requirement","J. Rajamäki; J. Knuuttila","Laurea SID, Laurea University of Applied Sciences, Espoo, Finland; Laurea SID, Laurea University of Applied Sciences, Espoo, Finland","2013 European Intelligence and Security Informatics Conference","7 Nov 2013","2013","","","198","203","When carrying out criminal investigations, Law Enforcement Agencies (LEAs) apply new technology in very effective ways. However at worst, LEAs must perform many stages twice with the help of different technical tools. When investigating the identity of criminals LEAs may apply totally different technical tools than when gathering evidences for charge, because the data provided by investigating may not be valid in court. For that reason, a new monitoring system that goes beyond state of the art is needed. Three organizational layers need attentions: 1) LEA, the people that actually retrieve and store the information. 2) Prosecutors and their offices, how they get access to the information. 3) Courts, the final destination of the retrieved information. Until now, the information gathering tools for LEAs have been engineered focusing only on the best way to retrieve the information from the target. The attention paid to the legal, integrity and chain-of-custody requirements as well as social acceptance and legal oversight in connection with retrieving information has been inadequate and guidance on the matters has existed only in manuals written by legal departments.","","978-0-7695-5062-6","10.1109/EISIC.2013.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6657154","Law enforcement;Law Enforvcement Authority;Digital evidence;Forensic;Chain-on-custody","Monitoring;Forensics;Computers;Economics;Law enforcement","","4","","18","IEEE","7 Nov 2013","","","IEEE","IEEE Conferences"
"Effective Summarization Techniques for Legal Document Analysis","N. Gurrapu; J. S. V. G. Krishna; V. T. R. P. K. M; R. Dhumpati; J. S. Mantena; K. K. Reddy Penubaka","Department of computer science and Artificial intelligence, SR University, Warangal, India; Department of CSE, Sir C R Reddy College of Engineering, Eluru, India; Department of Computer Science, Kakaraparti Bhavanarayana College, Vijayawada, India; Department of CSE, Bahrain Polytechnic College, Bahrain; Department of CSE, SRKR Engineering College, Bhimavaram, India; Department of CSE-AIML, MLR Institute of Technology, Hyderabad, India","2025 4th International Conference on Sentiment Analysis and Deep Learning (ICSADL)","27 Mar 2025","2025","","","26","33","Summarizing legal texts is a critical task in natural language processing (NLP), which addresses the growing demands for efficient processing of large legal documents. Due to the complexity and structured nature of legal texts, the development of models capable of generating accurate and concise summaries presents significant challenges. This study examines the use of three state-of-the-art transformer-based models for summarizing legal texts. Each model is evaluated for its ability to capture nuanced semantics and preserve the contextual integrity of legal documents. The research uses a specialized dataset containing different types of legal documents, including summaries of case law, statutes and regulatory texts. Preprocessing steps include tokenization, normalization, and removal of non-informative content, ensuring that model inputs reflect the structure and verbosity contained in legal texts. Performance benchmarking is done using standard metrics such as ROUGE, BLEU, and BERT Score, along with domain-specific criteria to assess factual consistency and relevance. Experimental consequences exhibit that BART-base excels in generating fluent and human-like summaries, LED-base proves effective for longer documents due to its prolonged context-handling ability, and T5 showcases its versatility in domain edition. A specified analysis famous the strengths and limitations of every version in dealing with domain-unique demanding situations consisting of felony terminology, quotation references, and logical reasoning.","","979-8-3315-2392-3","10.1109/ICSADL65848.2025.10933012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933012","Legal Text Summarization;Transformer Models;T5;BART;LED;Distil BART;ROUGE;BLEU;CLS Tokenization;Abstractive Summarization","Training;Measurement;Adaptation models;Analytical models;Accuracy;Law;Light emitting diodes;Transformers;Tokenization;Complexity theory","","","","20","IEEE","27 Mar 2025","","","IEEE","IEEE Conferences"
"Ontology-based traffic scene modeling, traffic regulations dependent situational awareness and decision-making for automated vehicles","M. Buechel; G. Hinz; F. Ruehl; H. Schroth; C. Gyoeri; A. Knoll","Fortiss GmbH, Munich, Germany; Fortiss GmbH, Munich, Germany; Continental Teves AG & Co. oHG, Frankfurt, Germany; Continental Teves AG & Co. oHG, Frankfurt, Germany; Continental Teves AG & Co. oHG, Frankfurt, Germany; Department of Robotics and Embedded Systems, Technical University of Munich (TUM), Munich, Germany","2017 IEEE Intelligent Vehicles Symposium (IV)","31 Jul 2017","2017","","","1471","1476","This paper presents a modular framework for traffic regulations based decision-making of automated vehicles. It builds on a semantic traffic scene representation formulated as ontology and includes knowledge about traffic regulations. The semantic representation supports traffic situation classification by reasoning, providing improved situational awareness for the automated vehicle. Decision-making rules are directly derived from traffic regulations and concepts used in the ontology are harmonized with concepts used in traffic regulations. Due to the modular structure of the developed ontology, switching between different sets of national traffic regulations becomes a simple process. The methodology is evaluated for a variety of traffic scenarios, building up from basic to complex urban scenarios containing intersections, traffic regulating police officers and crossing street railways.","","978-1-5090-4804-5","10.1109/IVS.2017.7995917","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7995917","","Ontologies;Roads;Semantics;Decision making;OWL;Cognition;Software","","22","","16","IEEE","31 Jul 2017","","","IEEE","IEEE Conferences"
"The Study on Energy Loss Distribution Law for Energy System of Oil Depot","Q. -l. Cheng; H. -l. Zhou; L. -d. Meng","NA; NA; NA","2010 International Conference on Optoelectronics and Image Processing","13 Jan 2011","2010","2","","637","640","The Grey box models of pipeline subsystem and oil depot total system have been set up in accordance with practical production process of a certain oil depot in Daqing Oilfield by applying thermodynamic analysis method of energy system. Analysis criteria of energy loss are put forward on the basis of energy using models and energy balance equations. According to operating parameters during production, energy loss distribution in each part of the system has been worked out. Then, the forming reasons of relatively large energy loss are analyzed, so that improvement direction of energy saving measures can be pointed out in order to provide theory foundation for enhancing energy using levels of the oil depot system.","","978-1-4244-8683-0","10.1109/ICOIP.2010.82","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5662810","oil depot;energy loss analysis;energy analysis model;energy analysis criteria","Erbium;Decision support systems;Image processing","","","","6","IEEE","13 Jan 2011","","","IEEE","IEEE Conferences"
"Legal argument in fuzzy legal expert system (FLES)","K. Hirota; Y. Takama; M. Xu; H. Yoshino","Tokyo Institute of Technology, Yokohama, Japan; Tokyo Institute of Technology, Yokohama, Japan; Docomo Engineering, Tokyo, Japan; Meiji Gakuin University, Minato, Tokyo, Japan","2000 26th Annual Conference of the IEEE Industrial Electronics Society. IECON 2000. 2000 IEEE International Conference on Industrial Electronics, Control and Instrumentation. 21st Century Technologies","6 Aug 2002","2000","1","","207","210 vol.1","A fuzzy legal case-based reasoning system has been developed for CISG (United Nation, Convention on Contract for the International Sale of foods). Since law is adversarial, there are usually at least two opposing viewpoints. Although either side may be quite reasonable, only one side wins in the end. An argument between two agents, such as the plaintiff and defendant, in a legal domain is very useful for classify a vague concept, because it can provide an explanation from the two sides. On the basis of the proposed structural similarity measure approach, a fuzzy legal argument is developed. This approach simulates the cognitive process of human beings in the legal argument. It can be used for students to learn the skill of the legal argument, or provides an advice for the attorneys in practice.","","0-7803-6456-2","10.1109/IECON.2000.973151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=973151","","Law;Legal factors;Hybrid intelligent systems;Fuzzy systems;Expert systems;Fuzzy logic;Fuzzy reasoning;Contracts;Marketing and sales;Humans","","2","","5","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Some thoughts at the interface of law and statistics","C. G. G. Aitken","NA","Law, Probability and Risk","18 Jan 2018","2009","8","2","73","83","The role of probabilistic and statistical reasoning in two murder trials in England is described. Suggestions are made as to what is required of statisticians who wish to become involved in the judicial process and as to what is required of lawyers who wish to present probabilistic ideas into the courtroom.","1470-840X","","10.1093/lpr/mgp019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8157280","evidence;forensic science;propositions;statistics","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"Least-squares estimation of power law for aggregation of harmonic currents","A. B. Morton","Grid and Power Systems Consultancy, Vysus Australia Pty Ltd, Melbourne, Australia","2023 IEEE International Conference on Energy Technologies for Future Grids (ETFG)","2 Feb 2024","2023","","","1","5","A critical choice when modelling wind farms, solar farms, BESS installations and other inverter-based resources (IBRs) for harmonic penetration studies is the approach to combining harmonic currents from many identical units, to obtain the best estimate of the equivalent aggregate current at the point of connection. The long-standing practice based on the IEC ‘second summation law’ has been called into question by observations on single-phase AC string inverters at a US solar farm site. Many practitioners therefore advocate a conservative approach where no diversity in current phase angles is assumed and current magnitudes are purely additive. In this paper, a straightforward analysis of data collected by a solar inverter OEM is offered as evidence that the IEC summation law provides realistic estimates of aggregate harmonic currents from solar farms, and conversely, there is a reasonable likelihood that the conservative approach leads to inefficient design and unnecessary costs.","","978-1-6654-7164-0","10.1109/ETFG55873.2023.10408521","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10408521","Harmonic distortion;Power conversion harmonics;Power system harmonics;Power quality;Solar power generation","Power measurement;Current measurement;Aggregates;Power system harmonics;Harmonic analysis;Mathematical models;Optimization","","","","8","IEEE","2 Feb 2024","","","IEEE","IEEE Conferences"
"Goal Orientation in Music Composition and Other Social Behaviors Leading to the Common Quantitative Law","N. Nan; X. Guan","MOE KLINNS Laboratory, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China; MOE KLINNS Laboratory, Faculty of Electronic and Information Engineering, Xi’an Jiaotong University, Xi’an, China","IEEE Transactions on Computational Social Systems","31 Jan 2023","2023","10","1","388","402","The power-law distribution is ubiquitous and common in many natural, engineering, and social systems. In this article, we found that goal orientation is the driving reason on the power-law distribution in typical social behaviors. A unified model is constructed to formulate the goal orientation mechanism in many social systems. Three mathematical characteristics of tonal music melody are found based on music composition theory. The constrained entropy maximization model (CEMM) is constructed, and the power-law distribution of melodic intervals is the result of solving the problem formulated in this model. Three other typical power-law models in economics, linguistics/informatics, and design of complex engineering systems are reviewed, and their goal orientation behaviors are analyzed. It is found that the models quantifying different social behaviors with goal orientation are consistent with the unified model. The power law is actually the result of the well-known social distribution mechanisms with limited resources, such as the maximal wealth with limited economic capability, the minimal cost under constrained resources, and the maximal entropy with restrictions. If without limit or constraint, these social systems would not observe the power law. This finding could inspire the study on other common laws in computational social systems.","2329-924X","","10.1109/TCSS.2022.3227080","National Natural Science Foundation of China(grant numbers:62192750); Interdisciplinary Doctoral Program of Xi’an Jiaotong University(grant numbers:IDT1707); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9991250","Constrained optimization;goal orientation;music composition;power law;social system analysis","Behavioral sciences;Mathematical models;Computational modeling;Entropy;Optimization;Costs;Analytical models","","2","","92","IEEE","19 Dec 2022","","","IEEE","IEEE Journals"
"Towards the formalization of legal causal reasoning","J. Lehmann","Faculty of Law, Department of Computer Science and Law, University of Amsterdam, Amsterdam, Netherlands","Proceedings. Tenth International Workshop on Database and Expert Systems Applications. DEXA 99","6 Aug 2002","1999","","","780","784","In order to build an artificial legal causal reasoner, i.e. a software component that can lead causal reasoning for legal purposes, it is necessary to enhance legal-theoretical accounts of causation by means of formal theories of commonsense reasoning, developed in philosophy, logic and artificial intelligence (AI). The article presents the methodological setup of the author's research about legal causal knowledge and it shows that merging legal-theoretical and AI-like views on causation requires a preliminary thorough ontological specification of the notion of 'Event', which is generally considered as the basic building block of causal reasoning.","","0-7695-0281-4","10.1109/DEXA.1999.795283","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=795283","","Law;Legal factors;Artificial intelligence;Ontologies;Legislation;Computer science;Logic;Expert systems;Merging;Knowledge based systems","","","","6","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Characterization of Fuzzy Implication Functions With a Continuous Natural Negation Satisfying the Law of Importation With a Fixed t-Norm","S. Massanet; J. Torrens","Fuzzy Logic and Information Fusion Group (LOBFI), Department of Mathematics and Computer Science, University of the Balearic Islands, Palma de Mallorca, Spain; Fuzzy Logic and Information Fusion Group (LOBFI), Department of Mathematics and Computer Science, University of the Balearic Islands, Palma de Mallorca, Spain","IEEE Transactions on Fuzzy Systems","1 Feb 2017","2017","25","1","100","113","The law of importation is an important property of fuzzy implication functions with interesting applications in approximate reasoning and image processing. This property has been extensively studied, and some open problems have been posed in the literature. In particular, in this paper, we partially solve an open problem related to this property posed some years ago. Specifically, given a fixed t-norm T , all fuzzy implication functions with continuous natural negation that satisfy the law of importation with this t-norm T are characterized. This characterization is especially detailed for the case of any continuous t-norm T , and particular cases are given for the minimum t-norm, for any continuous Archimedean t-norm, and for any ordinal sum of continuous Archimedean t-norms. For noncontinuous t-norms, the particular cases of the drastic t-norm and the nilpotent minimum t-norm are also presented separately. Finally, characterizations of some well-known fuzzy implication functions are also deduced from the presented results.","1941-0034","","10.1109/TFUZZ.2016.2551285","Spanish(grant numbers:TIN2013-42795-P); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7448431","Fuzzy implication function;law of importation;  $(S,\, N)$  -implication;t-conorm;t-norm","Nickel;Noise measurement;Image processing;Cognition;Mathematical model;Fuzzy logic;Indexes","","25","","27","IEEE","6 Apr 2016","","","IEEE","IEEE Journals"
"A Novel Method for Studying 3D-MANET Capacity Based on Zipf’s Law","Z. Cheng; Y. Liu","School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China","2022 3rd Information Communication Technologies Conference (ICTC)","23 May 2022","2022","","","14","18","Emerging three-dimensional (3D) mobile ad hoc networks paradigms such as flying ad hoc network and 3Dvehicular ad hoc network have contributed significantly to various fields. Accurately characterizing the throughput capacity of 3D-MANET is becoming increasingly critical. For the convenience of model solving, the prior work has typically been analyzed based on the uniform or specific probability distribution of network nodes, but ignoring such the node distribution is difficult to describe the real application scene. With was formerly different, in this paper, we propose a cell-gridded 3D network model in which movement and distribution of nodes follow Zipf’s law with exponent $\varphi$ (many scholars have proved this law to conform to the movement law of the actual world). Moreover, our model can cover a variety of distribution scenarios with changes in $\varphi$ value. We derived the packet delivery rate and network throughput capacity scaling law under the two-hop relay routing algorithm with the help of Zipf’s law and classical capacity analysis theories and discussed the impact of $\varphi$ on capacity. Additionally, our research findings indicate that if we can fully utilize network users’ movement and distribution status information in different areas and reasonably divide network cells, it will be expected to improve network throughput capacity performance.","","978-1-6654-9508-0","10.1109/ICTC55111.2022.9778767","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778767","3D-MANET;Throughput capacity;Zipf’s law","Solid modeling;Analytical models;Three-dimensional displays;Throughput;Routing;Probability distribution;Communications technology","","1","","14","IEEE","23 May 2022","","","IEEE","IEEE Conferences"
"Named Entity Recognition Method of Legal Instruments Based on Improved Few-Shot Learning","Q. Liu; J. Wang; J. Fu; J. Liu; B. Chen","Department of Computer and Information Technology, Zhejiang Police College, Hangzhou, China; College of Information Engineering, Zhejiang University of Technology, Hangzhou, China; College of Information Engineering, Zhejiang University of Technology, Hangzhou, China; College of Information Engineering, Zhejiang University of Technology, Hangzhou, China; College of Information Engineering, Zhejiang University of Technology, Hangzhou, China","IEEE Access","31 Oct 2024","2024","12","","157444","157454","Automatically extracting critical information from voluminous legal instruments can significantly enhance judges’ efficiency in handling cases and foster the development of intelligent courts. However, the scarcity of adequately annotated data in legal instruments presents a challenge to training a reliable model for named entity recognition. To address this issue, a novel named entity recognition approach for legal instruments based on improved few-shot learning is introduced in this paper. This approach enables named entity recognition of a large amount of unknown legal data with a small amount of annotated data on legal instruments. Firstly, data augmentation is employed to expand the training sample, and a BERT pre-training model is used to obtain word vectors of the text data. Subsequently, the NNshot model is applied to learn text data features and perform classification. Then, a Viterbi decoder based on label-pair rules is used to capture the dependencies between categories, correct the NNshot prediction results, and select the optimal classification sequence. Finally, the experimental results demonstrate that the proposed named entity recognition method is reasonably reliable and can overcome the challenge that entities cannot be accurately recognized due to insufficient annotation data.","2169-3536","","10.1109/ACCESS.2024.3484765","Fundamental Research Funds for the Provincial Universities of Zhejiang(grant numbers:RF-C2023007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10731673","Named entity recognition;legal instruments;data augmentation;Viterbi decoder;improved few-shot learning","Hidden Markov models;Law;Vectors;Instruments;Viterbi algorithm;Data models;Training;Games;Decoding;Data augmentation","","","","48","CCBYNCND","23 Oct 2024","","","IEEE","IEEE Journals"
"A fuzzy case based reasoning system for the legal inference","K. Hirota; H. Yoshino; M. Q. Xu; Y. Zhu; X. Y. Li; D. Horie","Department of Computational and Systems Intelligence, Tokyo Institute of Technology, Japan; Legal Expert Laboratory, Meiji Gakuin University, Tokyo, Japan; Department of Computational and Systems Intelligence, Tokyo Institute of Technology, Japan; Department of Computational and Systems Intelligence, Tokyo Institute of Technology, Japan; Department of Computational and Systems Intelligence, Tokyo Institute of Technology, Japan; Department of Computational and Systems Intelligence, Tokyo Institute of Technology, Japan","1998 IEEE International Conference on Fuzzy Systems Proceedings. IEEE World Congress on Computational Intelligence (Cat. No.98CH36228)","6 Aug 2002","1998","2","","1350","1354 vol.2","In legal case-based reasoning(CBR), there exist problems concerning fuzziness, e.g., representation of precedents, their retrieval and similarity measures. In the proposed fuzzy legal CBR system, the issues and features of precedent are characterized on the basis of the facts of precedent and statute rule. The case rule that is used for interpreting the court judgement, which can not be obtained from the statute rule directly, is made by experts. Fuzziness is represented by membership functions. Features and case rules, written in terms of frame, are stored in a case base. Cases similar to a new case are retrieved by issues and features, inference is made by case rules. A user interface is devised for this system. The system proposed here will be used for education of law, where the target law of the system is contract, especially as it relates to the United Nations Convention on Contracts for the International Sale of Goods (CISG).","1098-7584","0-7803-4863-X","10.1109/FUZZY.1998.686315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=686315","","Fuzzy reasoning;Fuzzy systems;Computer aided software engineering;Law;Legal factors;Fuzzy sets;Contracts;Intelligent systems;Computational intelligence;Laboratories","","3","1","11","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Development of a Legal Chatbot for Comprehensive User Support","D. Chauhan; M. Singh; A. Sharma; H. Narang; S. Vats; V. Sharma","Computer Science and Engineering, Graphic Era Hill University, Dehradun, India; Computer Science and Engineering, Graphic Era Hill University, Dehradun, India; Computer Science and Engineering, Graphic Era Hill University, Dehradun, India; Computer Science and Engineering, Graphic Era Hill University, Dehradun, India; Computer Science and Engineering, Graphic Era Hill University, Dehradun, India; Computer Science and Engineering, Graphic Era Hill University, Dehradun, India","2024 Asia Pacific Conference on Innovation in Technology (APCIT)","18 Sep 2024","2024","","","1","4","The primary motive for the development of a more sophisticated Legal Chatbot that is unable comprehensive User support by integrating cutting-edge Natural language processing plus the major helping hand in the making of this chatbot is Artificial Intelligence. As compared to the already available system, this chatbot displays a many-in-one platform that eradicates the issue that comes with the limitation of conventional legal assistance. Working with advanced technologies, this chatbot is a unified platform that transcends the limitations of conventional legal assistance. The primary objective is to revolutionize how individuals access legal information and assistance. Our chatbot seeks to bridge the gap between users and legal knowledge in an era of daunting legal complexities. Initially concentrating on foundational legal domains, the chatbot's capabilities extend to answering general legal queries, guiding users through specific legal processes, and offering instantaneous responses to common legal concerns.","","979-8-3503-6153-7","10.1109/APCIT62007.2024.10673669","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10673669","NLP;Machine Learning;Artificial Intelligence;Vectorizer;Cosine Similarity","Technological innovation;Accuracy;Law;Large language models;Taxonomy;Asia;Training data","","","","11","IEEE","18 Sep 2024","","","IEEE","IEEE Conferences"
"Game Analysis of Rural Land-Use Right Transfers with Government Regulations","H. Yang","School of Economics and Management, Xuchang University, Xuchang, China","2010 2nd International Conference on E-business and Information System Security","27 May 2010","2010","","","1","4","In China, presently rural land-use right transfers are not smoothly executed because of several reasons, such as farmers' insufficient enthusiasm of supply, land contractors' high risk, price distortion, agency and risk prevention mechanism and so on. However, government regulations play a key role in rural land-use right transfers. In this paper, both the government and farmers' actions and strategies during rural land-use right transfers are analyzed in the sight of government regulations by use of the game theory with construction and analysis of a game-theoretic model of rural land-use right transfers between them. It believes that a mixed strategy Nash equilibrium will exist between the government and farmers during rural land-use right transfers and their strategies are interdependent. The government could greatly excite rural land-use right transfers, and the excitation effect depends upon support level, punishment level and probability of the government for rural land-use right transfers.","2161-5977","978-1-4244-5895-0","10.1109/EBISS.2010.5473453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5473453","","Government;Game theory;Protection;Failure analysis;Contracts;Decision making;Risk analysis;Nash equilibrium;Stability analysis;Regulators","","","","8","IEEE","27 May 2010","","","IEEE","IEEE Conferences"
"Evaluate and Visualize Legal Embeddings for Explanation Purpose","N. H. Thanh; D. T. Binh; B. M. Quan; N. Le Minh","Japan Advanced Institute of Science and Technology, Ishikawa, Japan; Japan Advanced Institute of Science and Technology, Ishikawa, Japan; Japan Advanced Institute of Science and Technology, Ishikawa, Japan; Japan Advanced Institute of Science and Technology, Ishikawa, Japan","2021 13th International Conference on Knowledge and Systems Engineering (KSE)","28 Dec 2021","2021","","","1","6","Deep learning models have recently demonstrated promising results on legal-related tasks. However, the performance of the models is not enough for us to have a clear understanding of their behavior and the reason for such performance. This paper is not another performance-oriented report. It focuses on explanation, which is a detailed analysis of different legal embeddings to provide insight into such methods. We propose two quantitative metrics to assess the quality of legal embeddings. In addition, the visualizations presented in this work allow us to understand and choose the most appropriate approach for a specific legal problem. The results of this paper help us to explain the state-of-the-art model in legal processing rather than accept their performance as black boxes.","2694-4804","978-1-6654-9975-0","10.1109/KSE53942.2021.9648655","Air Force Office of Scientific Research(grant numbers:FA2386-19-1-4041); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648655","legal;embedding;metrics;explainability;visualization","Measurement;Knowledge engineering;Deep learning;Visualization;Law;Modeling;Task analysis","","1","","20","IEEE","28 Dec 2021","","","IEEE","IEEE Conferences"
"An Evolutionary Model of For-profit Enforcement and Pervasive Law-violation","K. Wang; T. Yu; J. Xu","College of Computer and Information Science, Southwest University, Chongqing, China; College of Computer and Information Science, Southwest University, Chongqing, China; School of Mathematics, Shandong University, Shandong, China","2019 6th International Conference on Information, Cybernetics, and Computational Social Systems (ICCSS)","12 Jun 2020","2019","","","152","156","Pervasive law-violation, the committing of certain illegal behavior by most individuals, exists in many fields, such as the overloading of trucks, pollution-discharge of chemical companies, etc., in some societies especially developing economies. For-profit enforcement is considered to be one possible reason for this phenomenon. This causality is articulated using an evolutionary model. There are two types of agents in this model, the first type is civilians who are bounded rational, and decide on whether to abide a law by learning from each other in a short time horizon; the other type is the law enforcement agency, who has higher rationality, and will choose optimal inspection frequency and punishment strength to maximize their payoff in a long time horizon, with the knowledge of how the civilians update their strategies. It is revealed that, if the enforcement agency can obtain benefit from the fines collected in the enforcement, their optimal choice is not to enforce the law strictly, but to adopt a moderate inspection frequency and punishment strength, because this induces more civilians to violate the law and brings the agency higher income. However, this intended lenient enforcement leads to a pervasive law-violation in the society.","2639-4235","978-1-7281-5857-0","10.1109/ICCSS48103.2019.9115444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9115444","Evolutionary game theory;Pervasive law-violation;For-profit law enforcement;Fine;Discretion abuse","","","","","13","IEEE","12 Jun 2020","","","IEEE","IEEE Conferences"
"Legal Driving for Autonomous Vehicles Through Law-Compliance Potential Fields","L. Song; L. Zhang; C. Zhao; X. Ma; J. Liu; S. Wu; Z. Wang; W. Yu; H. Wang","School of Vehicle and Mobility, Tsinghua University, Beijing, China; School of Vehicle and Mobility, Tsinghua University, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, China; School of Vehicle and Mobility, Tsinghua University, Beijing, China; School of Vehicle and Mobility, Tsinghua University, Beijing, China; School of Vehicle and Mobility, Tsinghua University, Beijing, China; School of Vehicle and Mobility, Tsinghua University, Beijing, China; School of Vehicle and Mobility, Tsinghua University, Beijing, China","2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC)","20 Mar 2025","2024","","","2310","2316","The widespread adoption of autonomous vehicles necessitates their compliance with existing traffic laws. However, while safety-oriented decision-making methods have matured, shortcomings in law compliance persist. To ensure that autonomous vehicles drive legally while prioritizing safety, a law-compliance potential fields-based approach is introduced. Firstly, this paper discusses the classification and constraints of traffic laws on vehicle states, outlining five principles for legal driving. Subsequently, law-compliance potential fields are established, incorporating factors related to roads, obstacles, and vehicle speeds. The potential fields-based model predictive control (MPC) controller is then employed to generate feasible trajectories, thereby enabling legal driving. Finally, the effectiveness of the proposed approach is verified through three representative scenarios including the intersection, the highway and the urban road. The results demonstrate that the method can ensure law compliance of autonomous vehicles in complex scenarios and can prioritize safety in extreme situations.","2153-0017","979-8-3315-0592-9","10.1109/ITSC58415.2024.10920121","National Key R&D Program of China(grant numbers:2022YFB2503005,2022YFB2503003); National Natural Science Foundation of China(grant numbers:52072215,52221005); Beijing Natural Science Foundation(grant numbers:L243025); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10920121","","Law;Roads;Decision making;Focusing;Trajectory;Safety;Autonomous vehicles;Tuning;Intelligent transportation systems;Predictive control","","","","20","IEEE","20 Mar 2025","","","IEEE","IEEE Conferences"
