Source;DOI;Url;Title;Year;Author;Abstract;First Round Decision;First Round Reason;Exclusion Criteria;Second Round Decision;Second Round Notes;Argumentation;Case Focus (Common Law);Statutes focus (Civil Law);Is Ontology;Formalization (Type of Logic);Reacts To Changes in the law;Mentions Conversion;Level of Automation on Creation;Human Understandability;Level of Involvment by legal practitioners in the creation of the methodology;BPC mentioned;Purpose;Demonstrated in Domain (This does not preclude genearl applicability);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/j.clsr.2024.106073;https://www.sciencedirect.com/science/article/pii/S0267364924001390;Bayesian deep learning: An enhanced AI framework for legal reasoning alignment;2024;"Zhang, Chuyue; Meng, Yuchen";"The integration of artificial intelligence into the field of law has penetrated the underlying logic of legal operations. Currently, legal AI systems face difficulties in representing legal knowledge, exhibit insufficient legal reasoning capabilities, have poor explainability, and are inefficient in handling causal inference and uncertainty. In legal practice, various legal reasoning methods (deductive reasoning, inductive reasoning, abductive reasoning, etc.) are often intertwined and used comprehensively. However, the reasoning modes employed by current legal AI systems are inadequate. Identifying AI models that are more suitable for legal reasoning is crucial for advancing the development of legal AI systems. Distinguished from the current high-profile large language models, we believe that Bayesian reasoning is highly compatible with legal reasoning, as it can perferm abductive reasoning, excel at causal inference, and admits the ""defeasibility"" of reasoning conclusions, which is consistent with the cognitive development pattern of legal professionals from apriori to posteriori. AI models based on Bayesian methods can also become the main technological support for legal AI systems. Bayesian neural networks have advantages in uncertainty modeling, avoiding overfitting, and explainability. Legal AI systems based on Bayesian deep learning frameworks can combine the advantages of deep learning and probabilistic graphical models, facilitating the exchange and supplementation of information between perception tasks and reasoning tasks. In this paper, we take perpetrator prediction systems and legal judegment prediction systems as examples to discuss the construction and basic operation modes of the Bayesian deep learning framework. Bayesian deep learning can enhance reasoning ability, improve the explainability of models, and make the reasoning process more transparent and visualizable. Furthermore, Bayesian deep learning framework is well-suited for human-machine collaborative tasks, enabling the complementary strengths of humans and machines.";Yes;DL approach always cool;;No;Not really focused on LIR, rather on the implications of deep learning and statistical methods as a whole. Mybe for discussion though;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/j.artint.2023.103861;https://www.sciencedirect.com/science/article/pii/S0004370223000073;Explainable AI tools for legal reasoning about cases: A study on the European Court of Human Rights;2023;"Collenette, Joe; Atkinson, Katie; Bench-Capon, Trevor";In this paper we report on a significant research project undertaken to design, implement and evaluate explainable decision-support tools for deciding legal cases. We provide a model of a legal domain, Article 6 of the European Convention on Human Rights, constructed using a methodology from the field of computational models of argument. We describe how the formal model has been developed, extended and transformed into practical tools, which were then used in evaluation exercises to determine the effectiveness and usability of the tools. The underpinning AI techniques used yield a level of explanation that is firmly grounded in legal reasoning and is also digestible by the target end users, as demonstrated through our evaluation activities. The results of our experimental evaluation show that on the first pass, our tool achieved an accuracy rate of 97% in matching the actual decisions of the cases and the user studies conducted gave highly encouraging results with respect to usability. As such, our project demonstrates how trustworthy AI tools can be built for a real world legal domain where critical needs of the end users are accounted for.;Yes;;;Yes;;Yes;Yes;No;No;ADF;Yes;No;manual;GUI;Yes;No;Legal argument;Human Rights;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/S0004-3702(03)00108-5;https://www.sciencedirect.com/science/article/pii/S0004370203001085;A model of legal reasoning with cases incorporating theories and values;2003;"Bench-Capon, Trevor; Sartor, Giovanni";Reasoning with cases has been a primary focus of those working in AI and law who have attempted to model legal reasoning. In this paper we put forward a formal model of reasoning with cases which captures many of the insights from that previous work. We begin by stating our view of reasoning with cases as a process of constructing, evaluating and applying a theory. Central to our model is a view of the relationship between cases, rules based on cases, and the social values which justify those rules. Having given our view of these relationships, we present our formal model of them, and explain how theories can be constructed, compared and evaluated. We then show how previous work can be described in terms of our model, and discuss extensions to the basic model to accommodate particular features of previous work. We conclude by identifying some directions for future work.;Yes;Common Law;;Yes;;Yes;Yes;No;No;Formal, custom formalization;No, but discussed;No;manual;Not optimized;No;No;Legal argument;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/j.compag.2019.03.027;https://www.sciencedirect.com/science/article/pii/S0168169918311402;End-to-end sequence labeling via deep learning for automatic extraction of agricultural regulations;2019;"Espejo-Garcia, Borja; Lopez-Pellicer, Francisco J.; Lacasta, Javier; Moreno, Ramón Piedrafita; Zarazaga-Soria, F. Javier";In the European Union, production standards in the form of legal regulations play an important role in farming. Because of the increasing amount of regulations, it is desirable to transform human-oriented regulations into a set of computer-oriented rules to provide decision support through the Farm Management Information System. To obtain the logical structure of rules, automatically labeling their meaningful information is necessary. In this work, we evaluate the performance of 8 different state-of-the-art deep learning architectures to develop an end-to-end sequence labeler for phytosanitary regulations. This sequence labeler extracts different meaningful information items to determine which pesticides can be applied to a crop, the place of the treatment, when it can be applied, and the maximum number of applications. The architectures evaluated do not require feature engineering and, hence, they are applicable to the agricultural regulations of different countries. The best system is a neural network that uses character embeddings, Bidirectional Long short-term memory and Softmax. It achieves a performance of 88.3% F1 score.;Yes;;;No;"Will disregard as ""only"" sequence labelling";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/j.cose.2008.08.001;https://www.sciencedirect.com/science/article/pii/S0167404808000679;A distributed requirements management framework for legal compliance and accountability;2009;"Breaux, Travis D.; Antón, Annie I.; Spafford, Eugene H.";Increasingly, new regulations are governing organizations and their information systems. Individuals responsible for ensuring legal compliance and accountability currently lack sufficient guidance and support to manage their legal obligations within relevant information systems. While software controls provide assurances that business processes adhere to specific requirements, such as those derived from government regulations, there is little support to manage these requirements and their relationships to various policies and regulations. We propose a requirements management framework that enables executives, business managers, software developers and auditors to distribute legal obligations across business units and/or personnel with different roles and technical capabilities. This framework improves accountability by integrating traceability throughout the policy and requirements lifecycle. We illustrate the framework within the context of a concrete healthcare scenario in which obligations incurred from the Health Insurance Portability and Accountability Act (HIPAA) are delegated and refined into software requirements. Additionally, we show how auditing mechanisms can be integrated into the framework and how auditors can certify that specific chains of delegation and refinement decisions comply with government regulations.;Yes;;;No;the obligations are not modelled themselves, there is just a model presented for the tracability / a meta model;No;No;Yes;No;;Yes;No;manual;Not optimized;No;Yes;Demonstrating compliance, tracability (not actually compliance itself in a way);Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/j.cose.2022.102697;https://www.sciencedirect.com/science/article/pii/S0167404822000955;Assessing frameworks for eliciting privacy & security requirements from laws and regulations;2022;Olukoya, Oluwafemi;The processing of personal data has become a prominent concern for stakeholders when selecting software or service providers to serve their needs. Different laws and legislation have been introduced to standardize and strengthen data protection policies across different countries to protect such data. Therefore, businesses and organizations responsible for managing personal data are obligated to implement the privacy and security requirements established by these laws and legislation. Different methods and tools have been provided for eliciting requirements for legally compliant software based on the relevant data protection laws and legislation. However, little has been done in assessing these methodologies on regulations outside the EU and the US. This paper aims to assess these methodologies on other information security laws and regulations beyond the General Data Protection Regulation (GDPR) and Health Insurance Portability and Accountability Act (HIPAA) by eliciting security requirements explicitly focusing on the Nigerian data protection regulation. To investigate the applicability of these methodologies, we use the extracted privacy and security requirements with information communication protocols in verifying compliance in procedural practices of products and services in the financial technology sector. The analysis reports on the completeness, consistency, and utility of the frameworks. Finally, foundational research directions for interoperable standards for eliciting software requirements from legal texts are proposed.;Yes;Not too sure;;No;EX1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/0950-7051(89)90007-5;https://www.sciencedirect.com/science/article/pii/0950705189900075;Generating legal arguments;1989;"Tyree, Alan L.; Greenleaf, Graham; Mobray, Andrew";Legal reasoning in the Common Law system has elements of reasoning by analogy, of reasoning from example, and certain characteristics which are unique. A legal expert system must provide a sophisticated level of justification for its advice, for the justification is the system's most important product. A legal expert system and its associated report generating system is described here.;Yes;Case law, careful, smeels of litigation;;Yes;;Yes;Yes;No;No;frames;Discussed but rather a limitation;No;Manual;No;Yes;No;Legal argument;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.32604/cmc.2022.024190;https://www.sciencedirect.com/science/article/pii/S1546221822010906;Regulation Relatedness Map Creation Method with Latent Semantic Analysis;2022;"Huyut, Mehmet Murat; Kocaoğlu, Batuhan; Meram, Ünzile";"Regulatory authorities create a lot of legislation that must be followed. These create complex compliance requirements and time-consuming processes to find regulatory non-compliance. While the regulations establish rules in the relevant areas, recommendations and best practices for compliance are not generally mentioned. Best practices are often used to find a solution to this problem. There are numerous governance, management, and security frameworks in Information Technology (IT) area to guide businesses to run their processes at a much more mature level. Best practice maps can used to map another best practice, and users can adapt themselves by the help of this relation maps. These maps are created generally by an expert judgment or top-down relationship analysis. These methods are subjective and easily creates inconsistencies. In order to have an objective and statistical relationships map, we propose a Latent Semantic Analysis (LSA) based modal to generate a specific relatedness correlation map. We created a relatedness map of a banking regulation to a best practice. We analyzed 224 statements of this regulation in relation to Control Objectives for Information Technologies (Cobit) 2019's 1202 activities. Furthermore, we support our LSA results with MCDM analysis methods; Fuzzy Analytics Hierarchy Process (FAHP) to prioritize our criteria and, WASPAS (Weighted Aggregated Sum Product Assessment Method) to compare similarity results of regulation and Cobit activity pairs. Instead of the subjective methods for mapping best practices and regulations, this study suggests creating relatedness maps supported by the objectivity of LSA.";Yes;Relatednes smight help, but not sure;EX5;No;relatedness of documents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/j.procs.2015.09.230;https://www.sciencedirect.com/science/article/pii/S1877050915030756;A Cloud Service Broker with Legal-Rule Compliance Checking and Quality Assurance Capabilities;2015;"Casalicchio, Emiliano; Palmirani, Monica";The ICT industry, and specifically critical sectors such as healthcare, transportation, energy and government require as mandatory the compliance of the ICT systems and services with legislation and regulation, as well as with standards. In the era of cloud computing, and particularly in a public cloud scenario, this compliance management issue is exacerbated by the distributed nature of the system and by the limited control of the customer on the infrastructure/services. Also if the cloud industry is aware of this legislation/regulation compliance issue (e.g. the compliance program of Amazon, Google and Microsoft Azure), right now, there are nor reference architectures neither mechanisms capable to check and to assure, off-line and at run-time, that the compliance is guaranteed during the whole life cycle of a cloud service. Cloud service brokerage can play an important role in law/regulation compliance management of cloud services. In this paper we propose a broker-based solution for the management of law/regulation compliance. In the specific first we define a reference architecture for a legislation-aware cloud service broker, and second we propose an autonomic manager that integrate the MAPE-K control loop with the LegEx framework for the management of the legal compliance checking lifecycle.;Yes;A bit too use casey, but still valid;;No;Duplicate (though in different publication: 10.1109/ICCAC.2015.24);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SD;https://doi.org/10.1016/S1571-0661(04)80899-5;https://www.sciencedirect.com/science/article/pii/S1571066104808995;CTML:: a context transport mark-up language for formalization and verification of legal, medical, bureaucratic and safety procedures and protocols;2001;Tonfoni, Graziella;"CPP-TRS [2] stands for Communicative Positioning Program - Text Representation Systems and is a visual language based upon a consistent set of dynamic visuals, which may be used in combination to represent qualitative reasoning about the nature of information packaged in textual format. A subset of CPP-TRS visuals, indicating those categories which create communicative context, precisely textual signs and textual symbols, have been recently isolated and converted into functions and commands of a mark-up language for documentation annotation. The newly derived special purpose language is called CTML, which means Context Transport Markup Language, [4] and the main objective to be achieved is accurate incorporation of contextual features into documentation. Communicative function carried by signs, together with communicative intention carried by symbols and communicative turn-taking carried by turn-taking symbols create context, which may be easily incorporated within each single instruction, that has been produced in textual format. Instructions displayed according to a set of categories selected as the most relevant ones will provide users with those interpretive clues which are needed to support accurate and effective understanding of each instructional sequence. Strategic information, such as legal, medical, bureaucratic text and safety protocols are, if designed and packaged according to the CTML standard [5] may be easily and effectively stored, retrieved, accessed, distributed and updated; therefore significantly enhancing power and speed in the search process as well.";Yes;;;No;This is not really representation of law;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3594536.3595129;https://doi.org/10.1145/3594536.3595129;A Formal Framework for Combining Legal Reasoning Methods;2023;"Prakken, Henry; Sartor, Giovanni";This paper proposes a novel argumentation-based approach to combine legal-reasoning methods that each solve a subproblem of an overall legal problem. The methods can be of any nature (for instance, logical, case-based or probabilistic), as long as their input-output behaviour can be described at the metalevel with deductive or defeasible rules. The model is formulated in the ASPIC+ framework, to profit from its metatheory and explanation methods, and to allow for disagreement about how to solve a subproblem. The model is not meant to be directly implementable but to serve as a semantics for architectures and implementations.;Yes;;;Yes?;The model is not meant to be directly implementable but to serve as a semantics for architectures and implementations. :/;Yes;Yes;Yes;No;meta on top of any deductive or defeasible rules (ASPIC+ framework);No;Less conversion, more communication and integration;Manual, actually not creted at all;Not optimized;Yes, the authors are from the law faculty;No;Reasoning;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3689299.3689319;https://doi.org/10.1145/3689299.3689319;Lawyer GPT: A Legal Large Language Model with Enhanced Domain Knowledge and Reasoning Capabilities;2024;"Yao, Shunyu; Ke, Qingqing; Wang, Qiwei; Li, Kangtong; Hu, Jie";The emergence of large language models has brought about revolutionary changes in the field of natural language processing and has shown extraordinary potential in general tasks and various specific domain tasks, especially in the legal field. However, there are still many factors that constrain the application of large language models in the legal field, with the main problems being the lack of domain knowledge and the ability to apply knowledge to solve problems. Therefore, we propose Lawyer GPT, a legal large model that incorporates domain knowledge by using an external knowledge retrieval module to combine an external knowledge base and possesses legal reasoning capabilities. We have collected a large amount of legal domain data and combined it with general domain data, using GPT-4 Turbo to build a high-quality legal dataset. To make Lawyer GPT's legal reasoning capabilities more reliable, we have performed supervised fine-tuning on this dataset, providing it with a good ability to apply domain knowledge to solve problems and enabling it to independently handle various legal professional issues. In addition, we have constructed a legal knowledge base and used retrieval enhancement techniques to provide Lawyer GPT with tools to retrieve external domain knowledge, thereby improving the factual and rationality of the generated content. Experimental results show that Lawyer GPT has demonstrated good performance in both subjective and objective legal domain tests, showing a strong ability to handle legal issues.;Yes;;;No;Important for main part of paper! Not important here, as RAG with basic text retrieval;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/2593770.2593780;https://doi.org/10.1145/2593770.2593780;Legal goal-oriented requirement language (legal GRL) for modeling regulations;2014;"Ghanavati, Sepideh; Amyot, Daniel; Rifaut, André";Every year, governments introduce new or revised regulations that are imposing new types of requirements on software development. Analyzing and modeling these legal requirements is time consuming, challenging and cumbersome for software and requirements engineers. Having regulation models can help understand regulations and converge toward better compliance levels for software and systems. This paper introduces a systematic method to extract legal requirements from regulations by mapping the latter to the Legal Profile for Goal-oriented Requirements Language (GRL) (Legal GRL). This profile provides a conceptual meta-model for the anatomy of regulations and maps its elements to standard GRL with specialized annotations and links, with analysis techniques that exploit this additional information. The paper also illustrates examples of Legal GRL models for The Privacy and Electronic Communications Regulations. Existing tool support (jUCMNav) is also extended to support Legal GRL modeling.;Yes;;;Yes;;No;No;Yes;No;semi-forma, Legal GRL;No;Only internally from Hohfeldian Models to Legal GRL;manual;Not optimized;No;Yes;compliance;EU law;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3594536.3595175;https://doi.org/10.1145/3594536.3595175;Deontic Ambiguities in Legal Reasoning;2023;"Governatori, Guido; Rotolo, Antonino";"What happens if the way in which we handle a genuine deontic conflict —i.e., a deontic ambiguity— matters regarding the application of other norms that are not directly affected by that conflict? We argue that the law requires sometimes propagating the ambiguity to other norms and sometimes confining it to some norms only. We explore this issue and model different reasoning patterns. The problem is addressed in a new variant of Defeasible Deontic Logic. The contribution of this paper is threefold: (a) we extend the treatment of ambiguity blocking and propagation to Defeasible Deontic Logic; (b) we discuss reasoning patterns in the law, especially in criminal law, where we need to deal with both ambiguity blocking and ambiguity propagation in the same legal system and logic; (c) we devise an annotated variant of Defeasible Deontic Logic where we distinguish literals that must be obtained through an ambiguity-blocking mechanism from those that are derived using an ambiguity-propagating mechanism.";Yes;Might not be relevant as more of a general deontic discussion, check if paper contains reference to compliance, etc.;;Yes;I wonder if an argument can be made, that conflicting arguments are not relevant for compliance. I do not know how exactly, but non-compliance is given when either a prohibited action is taken or an obligation is not fulfilled. If one subsumption creates an obligation an another indicates that the obligation is not needed, the end result should be that the obligation should be fulfilled. Prohohbitions and obligations might conflict though;No;Yes;Yes;No;Defeasible deontic logic;No, note that the explicit encodings about change of law cannot really be counted as considering changes in law;No;manual;not optimized;No;No;Reasoning;Criminal Law;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3689492.3690050;https://doi.org/10.1145/3689492.3690050;Software Engineering Methods for AI-Driven Deductive Legal Reasoning;2024;Padhye, Rohan;The recent proliferation of generative artificial intelligence (AI) technologies such as pre-trained large language models (LLMs) has opened up new frontiers in computational law. An exciting area of development is the use of AI to automate the deductive rule-based reasoning inherent in statutory and contract law. This paper argues that such automated deductive legal reasoning can now be viewed from the lens of software engineering, treating LLMs as interpreters of natural-language programs with natural-language inputs. We show how it is possible to apply principled software engineering techniques to enhance AI-driven legal reasoning of complex statutes and to unlock new applications in automated meta-reasoning such as mutation-guided example generation and metamorphic property-based testing.;Yes;Will need to check framing in paper;;No;Not really LIR. A case against RAG, but relevant to the main paper.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3535511.3535555;https://doi.org/10.1145/3535511.3535555;An Information System for Law Integrating Ontological Bases with a Legal Reasoner Chatbot;2022;"Monteiro, Lucas Henrique de Assis; Rodrigues, Cleyton Mário de Oliveira; Sousa, Aêda Monalliza Cunha de";Context: The Semantic Web aims to assign meanings to resources available on the internet so that humans and computers can understand them. It can be used in the most diverse contexts, facilitating the development of systems where expert knowledge is formalized through logical-mathematical resources, mitigating potential inconsistencies, and promoting more human-friendly interaction services. Problem: The existence of semantic anomalies (use of rhetorical language, polysemy and inaccuracies) in the Brazilian Legal Domain enables the use of Semantic Web standards and technologies to mitigate these problems. Solution: This work deals with the development of an Information System that uses resources from the Semantic Web for the formal representation and the realization of legal inferences about Crimes Against Property. SI Theory: The Behavioral Decision Theory was approached, mainly in the incorporation of real patterns of decision making. Method: Bibliographic and documentary research methods were used to list the main concepts related to the Criminal Types investigated. The research is prescriptive and has a quali-quantitative approach. Summary of Results: A prototype system is presented, integrating ontologies of Brazilian Law with a chatbot that enables interaction with users in natural language, as well as performing reasoning tasks based on the knowledge formalized in these ontologies. Contributions and Impact in the IS area: The research will contribute to the automation of decision-making processes involving crimes against property, serving as an aid for professionals or law students and for legal simulations by ordinary people. Furthermore, it will serve as a reference for the development of other information systems with similar objectives in other contexts.;Yes;;;No;EX2;;;;;;;;;Heavily optimized;;;;Criminal Law, Property Law;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1109/SEH.2019.00012;https://doi.org/10.1109/SEH.2019.00012;Towards enhanced accountability in complying with healthcare regulations;2019;"Anish, Preethu Rose; Joshi, Vivek; Sainani, Abhishek; Ghaisas, Smita";The healthcare ecosystem is highly complex. It is composed of multiple stakeholders with intersecting interests. The healthcare regulations such as Health Insurance Portability and Accountability Act, much like the systems they protect, are complex and often difficult to interpret. Regulations contain obligations that must be fulfilled by healthcare systems that form the backbone of modern healthcare. In this paper, we present a model for extracting and deconstructing obligations. The Obligation Model allows for capturing the essence of obligations in terms of their attributes such as Responsible entity, Trigger, Action, Deadline and Reference. We augment the extracted obligations with auxiliary information present in regulation documents and provide an ownership based rendering of the deconstructed obligation in an HTML format. This helps in establishing an explicit ownership of obligations and contributes towards enhancing accountability of stakeholders towards fulfilling the obligations. The rendering will be useful for building compliant healthcare systems by making the legal text more comprehensible for system designers.;Yes;Not 100% sure, basically lgm for business process management, but very specific use case;;Yes;No idea what my first roun reasoning is on about here. This is totally fine;No;No;Yes;No;semi-formal: different criteria extracted;No;No;Automatic;Yes (HTML);Yes;No;Accountability, tracability;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3183428.3183433;https://doi.org/10.1145/3183428.3183433;Resolving ambiguities in regulations: towards achieving the kohlbergian stage of principled morality;2018;"Ghaisas, Smita; Sainani, Abhishek; Anish, Preethu Rose";According to Kohlberg, the final stage of morality is characterized by viewing laws as a means to an end by upholding values such as human dignity and fairness as guiding principles for complying with the essence of the law. Given that purpose of compliance is indeed wellbeing of citizens, software systems should, by design, incorporate these values so that laws are followed in spirit. How can we build software systems that incorporate these values? We present our work on disambiguating Health Insurance Portability and Accountability Act (HIPAA) so as to reduce the potential incidents of breach, thereby upholding of the aforesaid guiding principles of morality. We have employed deep learning based approaches to emulate the human process of disambiguation by integrating information from multiple sources, summarizing it, and augmenting the regulatory text with the additional information. This augmented regulatory text can be used by policy makers and software engineers to achieve compliance in spirit.;Yes;Bit confused what compliance in spirit is, but sure;;No;not enough LIR for me here;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3664476.3670878;https://doi.org/10.1145/3664476.3670878;A Risk Assessment and Legal Compliance Framework for Supporting Personal Data Sharing with Privacy Preservation for Scientific Research;2024;"Baloukas, Christos; Papadopoulos, Lazaros; Demestichas, Kostas; Weissenfeld, Axel; Schlarb, Sven; Aramburu, Mikel; Redó, David; García, Jorge; Gaines, Seán; Marquenie, Thomas; Eren, Ezgi; Erdogan Peter, Irmak";In order to perform cutting-edge research like AI model training, a large amount of data needs to be accessed. However, data providers are often reluctant to share their data with researchers as these might contain personal data and thereby sharing may introduce serious risks with significant personal, institutional or societal impacts. Apart from the need to control these risks, data providers must also comply with regulations like GDPR, which creates an additional overhead that makes data sharing even less appealing to data providers. Technologies like anonymization can play a critical role when sharing data that may contain personal information by offering privacy preservation measures like face or license plate anonymization. Therefore, we propose a framework to support data sharing of personal data for research by integrating anonymization, risk assessment and automatic licence agreement generation. The framework offers a practical and efficient solution for organisations seeking to enhance data-sharing practices without compromising information security.;Yes;Very specific use case;;No;This has no real representation of law?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3594536.3595133;https://doi.org/10.1145/3594536.3595133;Multi-agent logic for reasoning about duties and powers in private law;2023;"Xu, Tianwen; Ju, Fengkui";Duties and powers are two fundamental notions in private law. In this work, we provide our conception of duties and powers and present a logic for reasoning about them. We treat duties as agents' obligations towards others to perform actions. We think that powers are agents' legal abilities, conferred by law, to change legal positions between agents. How to exercise powers is also specified by law. Many factors, including the exercise of powers, fulfillment of duties, violation of duties, and factual changes in the world, can change duties. The ontic level of the logic is a multi-agent dynamic logic, where agents have abilities to change atomic facts. At its normative level, agents have duties towards others to change atomic facts, and have powers to change duties by changing atomic facts. When agents behave, the ontic and normative aspects of the world change accordingly. The implications of the formalization are studied extensively.;Yes;ICP;;Yes;For future reference: ontic -> something in the real world, i.e., not deontic. This is to intelligent for me;No;No;Yes;No;Formal, custom formalization, missing Hofenfeldian permissions;No;No;manual (Unspecified);No;No;No;Reasoning;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3492547.3492661;https://doi.org/10.1145/3492547.3492661;Development of a web-resources testing system for compliance with GDPR regulation;2021;"Amanzholova, Saule; Akhmetova, Darya; Sagymbekova, Azhar";In this paper, we describe the development of a system for checking websites for compliance with the European standard on personal data processing - GDPR. The relevance of this problem is dictated by the entry into force of the General Data Protection Regulation, also known as the GDPR standard, as well as the obligation to comply with by all companies that process personal data and any other sensitive information of EU residents, regardless of the location of such a company. For a detailed study of this topic, statistical data was collected on the reaction of global companies in various spheres of life to the introduction of the GDPR personal data processing regulation, the impact of this standard on their future work and the measures taken by these companies. In addition, we examined existing Internet portals with similar processing parameters for websites. This article describes an implementation of a web application that validates a customer's site for compliance with the standard and issues a practical report with recommendations and notes in accordance with the list of fixes to the standard. We used tools and platforms such as Python, NodeJS, React.;Yes;;;No;Not sure how this passed initial screening, this is a very specific use case with no law representation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACM;10.1145/3462757.3466075;https://doi.org/10.1145/3462757.3466075;On semantics-based minimal revision for legal reasoning;2021;"Fungwacharakorn, Wachara; Tsushima, Kanae; Satoh, Ken";When literal interpretation of statutes leads to counterintuitive consequences, judges, especially in high courts, may identify counterintuitive consequences and revise interpretation of statutes. Researchers have studied revisions for computational legal representation. Generally, studies on revision usually consider minimal revision to reflect limitation of judges' legislative power. However, those studies tend to minimize the number of operations used for changing rules rather than minimize the changes of semantics (the set of conclusions obtained from the program), which vary among cases. In this paper, we consider minimizing the changes of semantics of a rule-base written in a normal logic program. We consider that each possible fact-base (the representation of a case) has its corresponding semantics and corresponding dominant rule-base, which is a set of Horn clauses obtained from the subset of rule-base that is specific to the considered fact-base. Hence, we present a new sub type of semantics-based minimal revision called a dominant-based minimal revision. Furthermore, we present one guidance to obtain one dominant-based minimal revision by using legal debugging and Closed World Specification. We also compare the dominant-based minimal revision with the syntax-based minimal revision in Theory Distance Metric. As the syntax-based minimal revision minimizes the number of operations used for changing rules, the comparison shows that the syntax-based minimal revision may cause extra semantics changes compared to the dominant-based minimal revision, especially when the rule-base contains multiple rules for the same consequence. We discuss that such extra semantics changes can be considered as unintentional changes caused by the syntax-based minimal revision. Hence, legal reasoning systems can check with the user such extra semantics changes to confirm the user intention of changes.;Yes;;;Yes;;No;No;Yes;No;Prolog;Yes, main focus;No;manual;No;No;No;Managing change, reducing semantic change;eGeneral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
